x_spline,y_spline,y_spline_smoothed
3.896664986478228002e+03,2.098547826825497111e+02,2.206829361588796701e+02
3.924698547532028442e+03,2.047635858400656730e+02,2.231925969923704258e+02
3.952732108585828428e+03,1.985555679033325873e+02,2.257145844205175251e+02
3.980765669639628868e+03,1.907274919735672256e+02,2.282487962872585854e+02
4.008799230693428854e+03,1.849491485821517358e+02,2.307951273298623676e+02
4.036832791747229294e+03,1.834453399903532897e+02,2.333534661831281767e+02
4.064866352801029279e+03,1.843897300832965982e+02,2.359236969307994514e+02
4.092899913854829720e+03,1.851140160201988749e+02,2.385056962229915030e+02
4.120933474908630160e+03,1.837852575364516099e+02,2.410993347019361295e+02
4.148967035962429691e+03,1.829092823975128113e+02,2.437044769392627472e+02
4.177000597016230131e+03,1.851551359207382745e+02,2.463209808164503727e+02
4.205034158070030571e+03,1.906667629385861176e+02,2.489487090431300089e+02
4.233067719123830102e+03,1.980606868660202338e+02,2.515875157711018915e+02
4.261101280177630542e+03,2.056172614388512443e+02,2.542372401300134186e+02
4.289134841231430983e+03,2.123319143479916988e+02,2.568977097681070632e+02
4.317168402285231423e+03,2.190110808524296147e+02,2.595687418088498362e+02
4.345201963339030954e+03,2.257213411769302240e+02,2.622501623847553560e+02
4.373235524392831394e+03,2.318765984337210000e+02,2.649417918652951016e+02
4.401269085446631834e+03,2.373385963833488859e+02,2.676434441866250609e+02
4.429302646500432274e+03,2.422934819764582812e+02,2.703549262581323092e+02
4.457336207554231805e+03,2.468271442812885823e+02,2.730760346272905394e+02
4.485369768608032246e+03,2.510442050741094704e+02,2.758065577118696865e+02
4.513403329661832686e+03,2.547459622210612622e+02,2.785462747915379396e+02
4.541436890715633126e+03,2.586318071808153150e+02,2.812949620212908144e+02
4.569470451769432657e+03,2.629775176034356718e+02,2.840523930564838793e+02
4.597504012823233097e+03,2.667307914120803503e+02,2.868183349539360734e+02
4.625537573877033537e+03,2.689969626231037978e+02,2.895925497871770062e+02
4.653571134930833978e+03,2.707544400759094287e+02,2.923747879594113215e+02
4.681604695984633508e+03,2.735832813126861538e+02,2.951647945872834953e+02
4.709638257038433949e+03,2.772756305444560212e+02,2.979623082703784007e+02
4.737671818092234389e+03,2.807714388629024143e+02,3.007670556235191839e+02
4.765705379146034829e+03,2.843330559212740241e+02,3.035787595348076593e+02
4.793738940199834360e+03,2.880058567884178160e+02,3.063971339659369733e+02
4.821772501253634800e+03,2.916679675679713455e+02,3.092218892377784414e+02
4.849806062307435241e+03,2.948242378455573203e+02,3.120527350503913340e+02
4.877839623361234771e+03,2.976684469234713220e+02,3.148893731804121785e+02
4.905873184415035212e+03,3.008407138639885261e+02,3.177315005230552742e+02
4.933906745468835652e+03,3.042216006881208727e+02,3.205788074147989164e+02
4.961940306522636092e+03,3.078970017287139740e+02,3.234309809000600922e+02
4.989973867576435623e+03,3.112967365052543300e+02,3.262877067976656917e+02
